conversation_id,customer_messages,full_conversation,intent,escalate,escalation_reason,notes
2107264,"@115830 ordered a logitech g29 from you on Friday. Anyway I can collect from somewhere to get it earlier || @AmazonHelp No, it hasn't been dispatched. I tried that and it just keeps going back to the home screen || @AmazonHelp Emailing them will take ages to get a response. Is there a quicker way? || @AmazonHelp There's no live chat there || @AmazonHelp Only call and email","[CUSTOMER] @115830 ordered a logitech g29 from you on Friday. Anyway I can collect from somewhere to get it earlier || [BRAND] @621839 Hi, Tom! Has the order been dispatched already?  You can check current order status here:  https://t.co/aaDyEz1VgE. ^AZ || [CUSTOMER] @AmazonHelp No, it hasn't been dispatched. I tried that and it just keeps going back to the home screen || [BRAND] @621839 Thank you for that info, Tom. Let's try this. Reach out to us here when you have a moment so that we can see which options are available: https://t.co/JzP7hlA23B ^SM || [CUSTOMER] @AmazonHelp Emailing them will take ages to get a response. Is there a quicker way? || [BRAND] @621839 Hi, the drop down menu will give you a live chat/phone option. ^CR || [CUSTOMER] @AmazonHelp There's no live chat there || [BRAND] @621839 After selecting ""Where's my stuff"" from the drop-down menu, please scroll down to select the chat option. ^AP || [CUSTOMER] @AmazonHelp Only call and email",order_issue,no,,Order has not been dispatched; customer wants to collect it or receive it earlier and is asking about faster support options.
158760,"My Fire TV Stick seems to become unresponsive to remote control interactions less frequently with the replacement remote that @115821 sent me, but it definitely still happens. #UI #UIFail #UX #UXFail #AmazonFail || @AmazonHelp No, none of that seems relevant. The remote works most of the time. I suspect the Fire TV Stick itself is to blame—possibly threading, event listening, and/or event handling problems. Possibly something blocking whatever thread handles remote input. || @AmazonHelp I would like for @115821’s products and services to simply work well and for my time to not be wasted. #AmazonFail","[CUSTOMER] My Fire TV Stick seems to become unresponsive to remote control interactions less frequently with the replacement remote that @115821 sent me, but it definitely still happens. #UI #UIFail #UX #UXFail #AmazonFail || [BRAND] @152497 Thank you for bringing this to our attention; we'd like to help you as best as we can! Have you tried the following troubleshooting steps as a starting point: https://t.co/jEKW78waJ4? ^WM || [CUSTOMER] @AmazonHelp No, none of that seems relevant. The remote works most of the time. I suspect the Fire TV Stick itself is to blame—possibly threading, event listening, and/or event handling problems. Possibly something blocking whatever thread handles remote input. || [BRAND] @152497 We'd like to try some real time troubleshooting with you. When you have a moment, please contact us by phone or chat here: https://t.co/EKXRLsnxJu ^AC || [CUSTOMER] @AmazonHelp I would like for @115821’s products and services to simply work well and for my time to not be wasted. #AmazonFail",device_technical,yes,Fire TV Stick remains intermittently unresponsive after a replacement remote; further real-time troubleshooting is required.,Customer suspects the Fire TV Stick itself is causing the remote input problem.
150471,When Is Next Flash Sale ?? @AmazonHelp @115850 @149087 || @AmazonHelp Oneplus 5T obviously,"[CUSTOMER] When Is Next Flash Sale ?? @AmazonHelp @115850 @149087 || [BRAND] @149086 Would you kindly let us know, what is the product your are looking for? Would help us answer you. ^CB || [CUSTOMER] @AmazonHelp Oneplus 5T obviously",other,no,,Customer asks about the next flash sale for a OnePlus 5T; no support issue.
382603,@115850 @115821 u forgot to deliver iphone 7 with the box!! This is utterly rubbish!! || @AmazonHelp Mail is already been sent to __email__ from __email__. Kindly look in to the matter ASAP.,[CUSTOMER] @115850 @115821 u forgot to deliver iphone 7 with the box!! This is utterly rubbish!! || [BRAND] @206700 Could you please help me understand this better? Kindly elaborate. ^SA || [CUSTOMER] @AmazonHelp Mail is already been sent to __email__ from __email__. Kindly look in to the matter ASAP. || [BRAND] @206700 Being on social platform we don't have access to your account. Please let us know what went wrong. We'd like to help. ^VN,order_issue,yes,"Order-specific investigation is required because the iPhone was delivered without its box, and AmazonHelp cannot access the customer's account on social media.",Customer received an iPhone 7 without the box and says they already sent an email about the issue.
920530,@116928 ha descubierto los viajes en el tiempo: https://t.co/MeDoxXhvZt,"[CUSTOMER] @116928 ha descubierto los viajes en el tiempo: https://t.co/MeDoxXhvZt || [BRAND] @338504 Hola Johann, lamentamos la confusión, por favor contacta a nuestro Servicio al Cliente para confirmar la fecha de entrega. ^MB",delivery_issue,yes,"The customer is questioning the delivery date, which requires order-specific investigation to confirm the expected delivery date.","Customer sarcastically comments about time travel, apparently referring to an unexpected delivery date."
985501,"Wtf is wrong with @17141, &amp; @115830. Signed up for the free trial, got charged &amp; was given no free credits.  @353581 || @AmazonHelp I was charged £7.99, when it was supposed to be a free trial, and had no credits","[CUSTOMER] Wtf is wrong with @17141, &amp; @115830. Signed up for the free trial, got charged &amp; was given no free credits.  @353581 || [BRAND] @353580 Hi Laurence, the Audible credit will automatically apply to your purchase in checkout, the subtotal should show £0.00 ^TS || [CUSTOMER] @AmazonHelp I was charged £7.99, when it was supposed to be a free trial, and had no credits || [BRAND] @353580 We want to help out! Can you please reach out to us directly so we can take a closer look? https://t.co/JzP7hlA23B ^MJ",payment_billing,yes,"The customer was charged £7.99 during a free trial and did not receive the expected credit, requiring account-specific billing investigation.",Customer reports an unexpected £7.99 charge and missing free trial credit.
2510883,@115850 why is this happening suddenly? https://t.co/F9Tye9HZQn || @AmazonHelp iPhone se,[CUSTOMER] @115850 why is this happening suddenly? https://t.co/F9Tye9HZQn || [BRAND] @715697 That's unusual. What kind of device are you using? Tell us more so we could check right away. ^HK || [CUSTOMER] @AmazonHelp iPhone se || [BRAND] @715697 I do get your concern. We've already escalated this to our team and we are working on it. This should be resolved soon. ^MM,device_technical,yes,Escalation reason:,"Customer reports a sudden technical issue while using an iPhone SE. The specific issue is unclear, and Amazon has already escalated it to their team for investigation.Notes:"
2922627,"んー、どこで間違えた
僕のAmazonのアカウント、知らないうちにプライム会員になってた","[CUSTOMER] んー、どこで間違えた
僕のAmazonのアカウント、知らないうちにプライム会員になってた || [BRAND] @808812 (2/2)有料会員移行後に特典のご利用が無ければ、キャンセル・返金を承る事も可能です。詳細はこちら&gt; https://t.co/wdPTbEULCH  
プライム特典の一覧はこちらをご参照ください&gt; https://t.co/AbfeovjCgG  YM",subscription_service,no,,Notes:
138224,"Asper my return pickup reqst,tday a delivery boy had come,named sukanta chakraborty,Howrah,no 8777725180.He misbehaved n threatened me.Also Pretended like he was d customer n i was d service provider.Very upset.lodged a complaint.Hope @115850  ll take proper action agst him.","[CUSTOMER] Asper my return pickup reqst,tday a delivery boy had come,named sukanta chakraborty,Howrah,no 8777725180.He misbehaved n threatened me.Also Pretended like he was d customer n i was d service provider.Very upset.lodged a complaint.Hope @115850  ll take proper action agst him. || [BRAND] @147129 That's unacceptable. Sorry for the experience with the delivery associate. I've noted your comments and will forward your feedback internally. Every report they receive will be investigated and appropriate action will be taken. ^SC",return_refund,yes,Escalation reason:,Customer reports that a delivery associate misbehaved and threatened them during a return pickup. The customer has already lodged a complaint and expects appropriate action.Notes:
2772329,"I ordered an #amazonfiretv stick and #ups in infinite wisdom left the package outside my building. Now most times people just move the package inside but someone decided to steal my package today. Thanks #UPS, thanks #Amazon thanks Neighbor who stole from me || @AmazonHelp I called your customer service line and it is being replaced. || @AmazonHelp I will, thank you again!","[CUSTOMER] I ordered an #amazonfiretv stick and #ups in infinite wisdom left the package outside my building. Now most times people just move the package inside but someone decided to steal my package today. Thanks #UPS, thanks #Amazon thanks Neighbor who stole from me || [BRAND] @774906 I'm very sorry you haven't received your order, Sean. In most cases when a package is scanned as delivered but not immediately found, the package is located soon after. Have you tried these tips: https://t.co/PiM3SFtEpV  Let us know if you still can't locate it. ^SK || [CUSTOMER] @AmazonHelp I called your customer service line and it is being replaced. || [BRAND] @774906 Thank you for letting us know. Please keep us in the loop on the replacement's arrival. ^DO || [CUSTOMER] @AmazonHelp I will, thank you again!",missing_package,no,,Notes:
819507,@AmazonHelp I don’t get how your delivery drivers can’t tell a 4 from an 8 but you need to teach them how to read. || @AmazonHelp It’s misplaced. It’s the second time my package was delivered to the wrong house even though we have big numbers on each house || @AmazonHelp Thanks,[CUSTOMER] @AmazonHelp I don’t get how your delivery drivers can’t tell a 4 from an 8 but you need to teach them how to read. || [BRAND] @315210 We're sorry for any trouble this has caused; is your order currently misplaced or missing? We'd like to help any way we can! ^WM || [CUSTOMER] @AmazonHelp It’s misplaced. It’s the second time my package was delivered to the wrong house even though we have big numbers on each house || [BRAND] @315210 Have both of them been by a single carrier? Do you know who the carrier is? You can find it here: https://t.co/Y5jpI9gRhE ^TK || [CUSTOMER] @AmazonHelp Thanks,missing_package,no,,Notes:
2697958,"@AmazonHelp after #harassing for a week @115850 has #refunded my money. Now they r not sharing result of invstgtn , no #harassment  #compensation #such a #worst #company || @AmazonHelp #nooutcomeaharing #nocompensation #onlyharassement #stillwearebest ! @115850 #suchaworstcompanyever","[CUSTOMER] @AmazonHelp after #harassing for a week @115850 has #refunded my money. Now they r not sharing result of invstgtn , no #harassment  #compensation #such a #worst #company || [BRAND] @647618 We're sorry for the experience you've had, Varun. However, we'll not be able to share the outcome of the investigation as this will be done internally. Appreciate your understanding. ^SM || [CUSTOMER] @AmazonHelp #nooutcomeaharing #nocompensation #onlyharassement #stillwearebest ! @115850 #suchaworstcompanyever",return_refund,no,,Notes:
2084553,Difficult to tell the status of my Xbox One X delivery today. Listed as “delivered to neighbour” despite @115830 telling me it wasn’t even dispatched. Hope it actually turns up today || @AmazonHelp Can’t really keep you posted as I’m at work. Is there a possible way to add a delivery time window to my order?,"[CUSTOMER] Difficult to tell the status of my Xbox One X delivery today. Listed as “delivered to neighbour” despite @115830 telling me it wasn’t even dispatched. Hope it actually turns up today || [BRAND] @616481 Hey Dave. Please get in touch - https://t.co/JzP7hlA23B we'd like to investigate further. Keep us posted. ^TP || [CUSTOMER] @AmazonHelp Can’t really keep you posted as I’m at work. Is there a possible way to add a delivery time window to my order? || [BRAND] @616481 We can't look into your order here, sorry about that ^AS",delivery_issue,no,,Notes:
929613,"@AmazonHelp I need assistance in tracking down and order that says delivered, but I never received.","[CUSTOMER] @AmazonHelp I need assistance in tracking down and order that says delivered, but I never received. || [BRAND] @190141 I'm sorry to hear this! Have you tried these tips on locating a missing package: https://t.co/gqSmOhsbTh ^GL",missing_package,no,,Notes:
2279069,@AmazonHelp I got £10 free on my fire stick last week I redeemed it but can't see it anywhere? How do I check?,"[CUSTOMER] @AmazonHelp I got £10 free on my fire stick last week I redeemed it but can't see it anywhere? How do I check? || [BRAND] @256981 Thanks for reaching out, Peter! You can view this balance at the end of the checkout process. For more information, please see here: https://t.co/PRBSLRdRrO ^FD",payment_billing,no,,Notes:
2878634,@115850 i wanted to buy L55P2MUS in Oct and tweeted more then 5 times emailed 30 times but u didn't respond now suddenly u become active and the tv set which were 58k earlier now it's 90k and made available stop fooling indian consumers.,[CUSTOMER] @115850 i wanted to buy L55P2MUS in Oct and tweeted more then 5 times emailed 30 times but u didn't respond now suddenly u become active and the tv set which were 58k earlier now it's 90k and made available stop fooling indian consumers. || [BRAND] @290978 I'm sure it's disappointing to see an increase in the price of L55P2MUS you were planning to purchase. We constantly receive new data from our suppliers &amp; our prices regularly change. The price you see now is the lowest we can offer at the moment. ^NS,order_issue,no,,Notes:
1212671,@AmazonHelp My package is out for delivery since 10:52 a.m. and its 6 p.m now. I also got message but still no delivery. || @AmazonHelp may i DM you my order no. ? as the it is by Amazon transportation services .. so i don't have any Contact no. to courier || @AmazonHelp ok thanks sir for your cooperation,"[CUSTOMER] @AmazonHelp My package is out for delivery since 10:52 a.m. and its 6 p.m now. I also got message but still no delivery. || [BRAND] @266920 Packages out for delivery are typically delivered by end of the day. Kindly wait till the same. Appreciate your patience.^VN || [CUSTOMER] @AmazonHelp may i DM you my order no. ? as the it is by Amazon transportation services .. so i don't have any Contact no. to courier || [BRAND] @266920 I'm afraid we'll not be able to access details via Twitter. Kindly connect with us via  https://t.co/vlvfJr4nN9 ^SG || [CUSTOMER] @AmazonHelp ok thanks sir for your cooperation || [BRAND] @266920 You're welcome, Hardik. Let us know how things go. ^MP",delivery_issue,no,,Notes:
38200,"Can't! Acct hacked. Autoreply: This email address doesnt accept emails. 
contact Amazon customer service if you need assistance.@AmazonHelp || @AmazonHelp I sent in the link and in 1""2-24 hours"" I expect to hear from @115821. I hope the scum that hacked my account isn't on a shopping spree!","[CUSTOMER] Can't! Acct hacked. Autoreply: This email address doesnt accept emails. 
contact Amazon customer service if you need assistance.@AmazonHelp || [BRAND] @124166 Hmm. That is odd! Will it allow you to call using the link provided by AD? ^AL || [CUSTOMER] @AmazonHelp I sent in the link and in 1""2-24 hours"" I expect to hear from @115821. I hope the scum that hacked my account isn't on a shopping spree! || [BRAND] @124166 I'm glad you were able to get this process started, Jennifer! Our specialists will be in contact with you soon! ^FR",account_access,yes,Escalation reason:,Customer reports that their Amazon account has been hacked and has already submitted the required recovery information. Specialist assistance is needed to secure and recover the account.Notes:
633498,Amazon支払いって注文番号じゃないの！？！！！！誰か！！！助けて😭,[CUSTOMER] Amazon支払いって注文番号じゃないの！？！！！！誰か！！！助けて😭 || [BRAND] @270159 アマゾンです。お支払番号は商品確保後にＥメールにてお知らせします。発行時期についてはこちらをご参照ください。予約商品の場合、発売日前後の発行となりますので、お届け予定日を目安にお待ちください。https://t.co/mbz8t8oGwV ET,payment_billing,no,,Notes:
2113089,"@115850 extremely poor response from Amazon and bluedart in picking up  damaged product delivered. Order# 
402-2430922-4873968 dt 20.09.17","[CUSTOMER] @115850 extremely poor response from Amazon and bluedart in picking up  damaged product delivered. Order# 
402-2430922-4873968 dt 20.09.17 || [BRAND] @359681 Please don’t provide your details as we consider them to be personal information. Our Twitter page is public. 3/3 ^SH",return_refund,yes,Escalation reason:,Customer reports that a damaged product was delivered and the return pickup has not been completed despite poor response from Amazon and the carrier.Notes:
1490353,Hola @130293 ! Cuando estará disponible en españa la segunda temporada de Avatar: La leyenda de Korra? || @AmazonHelp Muchas gracias por la rápida respuesta &lt;3 https://t.co/xvPmdJNPwP,[CUSTOMER] Hola @130293 ! Cuando estará disponible en españa la segunda temporada de Avatar: La leyenda de Korra? || [BRAND] @466122 Hola m a y a. En estos momentos no tenemos informaciones al respecto. Te recomendamos accesar nuestra página regularmente que al haber novedades las vamos a publicar.  ^JJ || [CUSTOMER] @AmazonHelp Muchas gracias por la rápida respuesta &lt;3 https://t.co/xvPmdJNPwP || [BRAND] @466122 ¡Con todo gusto! Cualquier otra consulta estamos a tu servicio. ¡Saludos!  ^PC,subscription_service,no,,Notes:
1211660,As predicted yesterday @115821 screwed up another delivery more than 50% of my orders in the past 2 months 😤😤😤 beyond frustrated,"[CUSTOMER] As predicted yesterday @115821 screwed up another delivery more than 50% of my orders in the past 2 months 😤😤😤 beyond frustrated || [BRAND] @404390 So sorry for the poor delivery experience us! W/o sharing any personal info, what happened with it? Was it late/damaged? ^JZ",delivery_issue,no,,Notes:
607247,amazonプライム入ったつもり無いのに、いつの間にか会員になってる( ⁰▱⁰ ),[CUSTOMER] amazonプライム入ったつもり無いのに、いつの間にか会員になってる( ⁰▱⁰ ) || [BRAND] @264310 無料体験を利用されたことはありませんか？利用時ご案内しているように更新設定を変更しない場合、期間終了後に本会員へ移行します。意図しない登録のご様子ですが、よろしければ特典をご活用いただけたら幸いです。https://t.co/FJh7vAncqv RI,subscription_service,no,,Notes:
909035,"@115821 if my package was supposed to arrive today but now say withing next 4 days... You knew it wasn't coming today.

I needed that item. || @AmazonHelp AMZL US || @AmazonHelp Called in, said it would be delivered today. Got email saying the couldn't find my building and it won't be delivered

Hard to miss building || @AmazonHelp So now I'm in limbo.. within the appointment time was yesterday.....","[CUSTOMER] @115821 if my package was supposed to arrive today but now say withing next 4 days... You knew it wasn't coming today.

I needed that item. || [BRAND] @335915 I'm so sorry for the delay! Will you tell us who the carrier is for your order, shown here: https://t.co/Y5jpI9gRhE? ^DW || [CUSTOMER] @AmazonHelp AMZL US || [BRAND] @335915 We want to ensure you receive your order within the appointed time; please keep us posted on the delivery. ^JF || [CUSTOMER] @AmazonHelp Called in, said it would be delivered today. Got email saying the couldn't find my building and it won't be delivered

Hard to miss building || [CUSTOMER] @AmazonHelp So now I'm in limbo.. within the appointment time was yesterday..... || [BRAND] @335915 John, I'd like to have a team member look into this! Please add your details here: https://t.co/4RJhddqo9Y Keep us posted! ^FR",delivery_issue,yes,Escalation reason:,"Customer's package was delayed because the carrier could not locate the building, despite the promised delivery date. The customer has already contacted support and requests further investigation.Notes:"
1477434,Sympa l'icône que met @120533 @117795 pour géolocaliser le livreur 😂 https://t.co/QT1Cb38t0v,[CUSTOMER] Sympa l'icône que met @120533 @117795 pour géolocaliser le livreur 😂 https://t.co/QT1Cb38t0v || [BRAND] @463037 😍🐦,other,no,,Notes:
417008,"@AmazonHelp I bought two Prime elegible items on the 8th. They’ve been dispatched with an expected arrival of this Sunday. Is that right? :) || @AmazonHelp So once an item ships it’ll be received in two business days? || @AmazonHelp Okay. It shipped yesterday with an estimate arrival of this Sunday. Five working days seems long for a hairdryer, yeah? || @AmazonHelp Carrier is AMZMX. Your website lists the same arrival estimate.","[CUSTOMER] @AmazonHelp I bought two Prime elegible items on the 8th. They’ve been dispatched with an expected arrival of this Sunday. Is that right? :) || [BRAND] @214488 Prime Two-Day shipping refers to transit time, in business days, once shipped. To learn more: https://t.co/ReuIZ3RwfS ^GM || [CUSTOMER] @AmazonHelp So once an item ships it’ll be received in two business days? || [BRAND] @214488 That is correct. However, generally speaking, the size of the item and any hazmat restrictions may impact the shipping speed. ^ST || [CUSTOMER] @AmazonHelp Okay. It shipped yesterday with an estimate arrival of this Sunday. Five working days seems long for a hairdryer, yeah? || [BRAND] @214488 Will you tell us who the carrier is for your order? Have you checked their site to see what estimated arrival date is there? ^DW || [CUSTOMER] @AmazonHelp Carrier is AMZMX. Your website lists the same arrival estimate. || [BRAND] @214488 Please contact us so we can take a closer look: https://t.co/beR78zMMYB ^JD",delivery_issue,no,,Notes:
380200,"@115830 hi Amazon, are Xbox One X preorders likely to arrive on release day or is that the day they will be dispatched? 🙂 || @AmazonHelp November 7th 🙂 just wanted to confirm as making arrangements to sign for the parcel so wasn’t sure if that was dispatch date. Thank you 🙂","[CUSTOMER] @115830 hi Amazon, are Xbox One X preorders likely to arrive on release day or is that the day they will be dispatched? 🙂 || [BRAND] @206183 Hi Lloyd, have you placed the order yet? If so, what delivery date do you have in the order confirmation email? ^AT || [CUSTOMER] @AmazonHelp November 7th 🙂 just wanted to confirm as making arrangements to sign for the parcel so wasn’t sure if that was dispatch date. Thank you 🙂 || [BRAND] @206183 We would aim to have it with you by the date in the confirmation email.If there are any changes to this we will update you.^NV",delivery_issue,no,,Notes:
1689472,Dear @115850 wana ask you the Redmi 4 (16gb) varient which sale on today 12 noon is eligible for Cash on Delivery or not.,"[CUSTOMER] Dear @115850 wana ask you the Redmi 4 (16gb) varient which sale on today 12 noon is eligible for Cash on Delivery or not. || [BRAND] @512964 During the checkout process, if the option is disabled, the pin code does not have COD facility. ^SM (2/2)",payment_billing,no,,Notes:
389994,@115850 Hi Team. Due to some reason missed the Great Indian Festival sale. Please tell me you'll be back again before diwali??,"[CUSTOMER] @115850 Hi Team. Due to some reason missed the Great Indian Festival sale. Please tell me you'll be back again before diwali?? || [BRAND] @208325 We haven't made any announcement yet. However, stay tuned to the website for more updates. ^MS",other,no,,Notes:
1579052,@AmazonHelp PLEASE HELP I DONT KNOW WHAT IM DOING!?,"[CUSTOMER] @AmazonHelp PLEASE HELP I DONT KNOW WHAT IM DOING!? || [BRAND] @486253 We're here to help! Without sharing account details, can you tell us a bit about what's going on? ^VS",other,no,,Notes:
